group,variable,value
J09-J18,J09-J18,1.0
J09-J18,J40-J47,0.806152825218045
J09-J18,J80,0.9200990296493379
J09-J18,J96,0.9446484084041556
J09-J18,R09.2,0.8315534414010282
J09-J18,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8489088292904325
J09-J18,I10-I15,0.8134565488542517
J09-J18,I20-I25,0.8527734362669166
J09-J18,I46,0.8672139174426812
J09-J18,"I44, I45, I47-I49",0.8868220671666454
J09-J18,I50,0.8805756757870893
J09-J18,I60-I69,0.9026625362997527
J09-J18,A40-A41,0.8286085315595921
J09-J18,C00-C97,0.9563123050976995
J09-J18,G30,0.8174656416547322
J09-J18,N17-N19,0.8469491102500915
J09-J18,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8091652449041182
J09-J18,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9309368168503741
J09-J18,"I00-I09, I26-I43, I51, I52, I70-I99",0.9259550918266691
J09-J18,E10-E14,0.882338416717128
J09-J18,E65-E68,0.7497495237595265
J09-J18,"F01, F03",0.7499069919112906
J09-J18,U071,0.9862408131120196
J40-J47,J09-J18,0.806152825218045
J40-J47,J40-J47,1.0
J40-J47,J80,0.6633193080233568
J40-J47,J96,0.6460683335663074
J40-J47,R09.2,0.4498142501577844
J40-J47,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.7103321551600705
J40-J47,I10-I15,0.9581067702142733
J40-J47,I20-I25,0.9716782510358899
J40-J47,I46,0.49383681439363736
J40-J47,"I44, I45, I47-I49",0.889492734904109
J40-J47,I50,0.8003769639267995
J40-J47,I60-I69,0.8711148892285854
J40-J47,A40-A41,0.5528335214368127
J40-J47,C00-C97,0.910962746008428
J40-J47,G30,0.7690289013216374
J40-J47,N17-N19,0.5919232445784919
J40-J47,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8980426752551156
J40-J47,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.7832418478993193
J40-J47,"I00-I09, I26-I43, I51, I52, I70-I99",0.8434652141740808
J40-J47,E10-E14,0.9446549722964468
J40-J47,E65-E68,0.9077586305820409
J40-J47,"F01, F03",0.9022422235128942
J40-J47,U071,0.825622875470762
J80,J09-J18,0.9200990296493379
J80,J40-J47,0.6633193080233568
J80,J80,1.0
J80,J96,0.8802138985982606
J80,R09.2,0.8481812199362986
J80,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.7590758687557346
J80,I10-I15,0.6901823226003306
J80,I20-I25,0.7453808968987292
J80,I46,0.8869800069601663
J80,"I44, I45, I47-I49",0.7316043160203947
J80,I50,0.7241422031069159
J80,I60-I69,0.7735497559867264
J80,A40-A41,0.6561626947185543
J80,C00-C97,0.8719486523562916
J80,G30,0.6450874136806413
J80,N17-N19,0.6876019517903196
J80,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.6555371386837126
J80,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.8263494841436901
J80,"I00-I09, I26-I43, I51, I52, I70-I99",0.8154993893671462
J80,E10-E14,0.715116990678683
J80,E65-E68,0.5241565910575308
J80,"F01, F03",0.6533217074398843
J80,U071,0.9169002401179087
J96,J09-J18,0.9446484084041556
J96,J40-J47,0.6460683335663074
J96,J80,0.8802138985982606
J96,J96,1.0
J96,R09.2,0.906649848571222
J96,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8643910385240762
J96,I10-I15,0.6179699887799658
J96,I20-I25,0.6733255938070838
J96,I46,0.891313251263274
J96,"I44, I45, I47-I49",0.8298390093270842
J96,I50,0.8983485984347663
J96,I60-I69,0.8613674984264375
J96,A40-A41,0.8918535494088209
J96,C00-C97,0.8528820879044746
J96,G30,0.8210075279468274
J96,N17-N19,0.8981092522472732
J96,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.7267923965676139
J96,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9275703553819001
J96,"I00-I09, I26-I43, I51, I52, I70-I99",0.8923165394072957
J96,E10-E14,0.7256743251204291
J96,E65-E68,0.5443750060860162
J96,"F01, F03",0.6745957389539268
J96,U071,0.9379271915810364
R09.2,J09-J18,0.8315534414010282
R09.2,J40-J47,0.4498142501577844
R09.2,J80,0.8481812199362986
R09.2,J96,0.906649848571222
R09.2,R09.2,1.0
R09.2,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.7184618051023451
R09.2,I10-I15,0.4381561573578494
R09.2,I20-I25,0.518597631423214
R09.2,I46,0.9399761506433405
R09.2,"I44, I45, I47-I49",0.6278461518142345
R09.2,I50,0.6970970402008774
R09.2,I60-I69,0.6864838222034144
R09.2,A40-A41,0.7119298432971781
R09.2,C00-C97,0.731322055168026
R09.2,G30,0.6324168481006558
R09.2,N17-N19,0.7136571656342152
R09.2,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.5336984584111331
R09.2,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.7854062019868098
R09.2,"I00-I09, I26-I43, I51, I52, I70-I99",0.7259744136802988
R09.2,E10-E14,0.5199053866481711
R09.2,E65-E68,0.3043452212353317
R09.2,"F01, F03",0.5472768851982414
R09.2,U071,0.8360352478881969
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",J09-J18,0.8489088292904325
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",J40-J47,0.7103321551600705
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",J80,0.7590758687557346
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",J96,0.8643910385240762
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",R09.2,0.7184618051023451
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.9999999999999998
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",I10-I15,0.649333589548605
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",I20-I25,0.7236292848633066
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",I46,0.6875228991767164
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","I44, I45, I47-I49",0.8516886471099233
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",I50,0.8753970084665464
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",I60-I69,0.8491869668095721
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",A40-A41,0.8037964478992323
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",C00-C97,0.8401905305492703
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",G30,0.8156232675831465
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",N17-N19,0.8554691291941529
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8360023550905742
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9042853778754155
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","I00-I09, I26-I43, I51, I52, I70-I99",0.8997311748999974
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",E10-E14,0.7477393505508537
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",E65-E68,0.6636918993974601
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","F01, F03",0.769153449966521
"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",U071,0.8724736841084194
I10-I15,J09-J18,0.8134565488542517
I10-I15,J40-J47,0.9581067702142733
I10-I15,J80,0.6901823226003306
I10-I15,J96,0.6179699887799658
I10-I15,R09.2,0.4381561573578494
I10-I15,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.649333589548605
I10-I15,I10-I15,0.9999999999999998
I10-I15,I20-I25,0.9700769131389804
I10-I15,I46,0.5244196741744712
I10-I15,"I44, I45, I47-I49",0.8162453416427535
I10-I15,I50,0.722616511088308
I10-I15,I60-I69,0.8079890005513317
I10-I15,A40-A41,0.49429956647594764
I10-I15,C00-C97,0.9007547298399403
I10-I15,G30,0.6769189381825483
I10-I15,N17-N19,0.5186768257549681
I10-I15,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.7969661373907363
I10-I15,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.7129499128033788
I10-I15,"I00-I09, I26-I43, I51, I52, I70-I99",0.778853825444719
I10-I15,E10-E14,0.9695722622303451
I10-I15,E65-E68,0.9133780729527106
I10-I15,"F01, F03",0.7835864977689498
I10-I15,U071,0.8263858544139877
I20-I25,J09-J18,0.8527734362669166
I20-I25,J40-J47,0.9716782510358899
I20-I25,J80,0.7453808968987292
I20-I25,J96,0.6733255938070838
I20-I25,R09.2,0.518597631423214
I20-I25,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.7236292848633066
I20-I25,I10-I15,0.9700769131389804
I20-I25,I20-I25,1.0
I20-I25,I46,0.5863050814301631
I20-I25,"I44, I45, I47-I49",0.8778931165720756
I20-I25,I50,0.7586844561426584
I20-I25,I60-I69,0.8743827996808897
I20-I25,A40-A41,0.5714645921635886
I20-I25,C00-C97,0.9449393270725848
I20-I25,G30,0.749489967040863
I20-I25,N17-N19,0.6125809498090535
I20-I25,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8794476166473709
I20-I25,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.7967532826836985
I20-I25,"I00-I09, I26-I43, I51, I52, I70-I99",0.8549714570892436
I20-I25,E10-E14,0.9582964325639887
I20-I25,E65-E68,0.9092564947118603
I20-I25,"F01, F03",0.8605688998110372
I20-I25,U071,0.862777308271855
I46,J09-J18,0.8672139174426812
I46,J40-J47,0.49383681439363736
I46,J80,0.8869800069601663
I46,J96,0.891313251263274
I46,R09.2,0.9399761506433405
I46,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.6875228991767164
I46,I10-I15,0.5244196741744712
I46,I20-I25,0.5863050814301631
I46,I46,1.0
I46,"I44, I45, I47-I49",0.6310470730708069
I46,I50,0.6677945295710349
I46,I60-I69,0.6825292335749895
I46,A40-A41,0.7217830215032572
I46,C00-C97,0.7702592442569035
I46,G30,0.6396485134292793
I46,N17-N19,0.704643101439659
I46,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.5100821110563769
I46,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.7418133486025478
I46,"I00-I09, I26-I43, I51, I52, I70-I99",0.720099039715004
I46,E10-E14,0.6079695303870436
I46,E65-E68,0.3922457944749063
I46,"F01, F03",0.48957725084598375
I46,U071,0.8481179750614853
"I44, I45, I47-I49",J09-J18,0.8868220671666454
"I44, I45, I47-I49",J40-J47,0.889492734904109
"I44, I45, I47-I49",J80,0.7316043160203947
"I44, I45, I47-I49",J96,0.8298390093270842
"I44, I45, I47-I49",R09.2,0.6278461518142345
"I44, I45, I47-I49","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8516886471099233
"I44, I45, I47-I49",I10-I15,0.8162453416427535
"I44, I45, I47-I49",I20-I25,0.8778931165720756
"I44, I45, I47-I49",I46,0.6310470730708069
"I44, I45, I47-I49","I44, I45, I47-I49",1.0
"I44, I45, I47-I49",I50,0.9451357333343003
"I44, I45, I47-I49",I60-I69,0.9751518068956523
"I44, I45, I47-I49",A40-A41,0.8125657647968979
"I44, I45, I47-I49",C00-C97,0.9243312264630914
"I44, I45, I47-I49",G30,0.8970826003379542
"I44, I45, I47-I49",N17-N19,0.858595797525407
"I44, I45, I47-I49","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.961832456332557
"I44, I45, I47-I49","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9552896338665022
"I44, I45, I47-I49","I00-I09, I26-I43, I51, I52, I70-I99",0.9728082251423267
"I44, I45, I47-I49",E10-E14,0.8884820760949195
"I44, I45, I47-I49",E65-E68,0.8348612649712125
"I44, I45, I47-I49","F01, F03",0.8925569994947835
"I44, I45, I47-I49",U071,0.8876574085031383
I50,J09-J18,0.8805756757870893
I50,J40-J47,0.8003769639267995
I50,J80,0.7241422031069159
I50,J96,0.8983485984347663
I50,R09.2,0.6970970402008774
I50,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8753970084665464
I50,I10-I15,0.722616511088308
I50,I20-I25,0.7586844561426584
I50,I46,0.6677945295710349
I50,"I44, I45, I47-I49",0.9451357333343003
I50,I50,1.0
I50,I60-I69,0.9341390543855788
I50,A40-A41,0.8427283415875525
I50,C00-C97,0.8751256001138378
I50,G30,0.878154401460231
I50,N17-N19,0.8782968882929494
I50,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8701028544370242
I50,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9377945002903849
I50,"I00-I09, I26-I43, I51, I52, I70-I99",0.9374546690986072
I50,E10-E14,0.8107227682536553
I50,E65-E68,0.7035231404997695
I50,"F01, F03",0.8358886655179117
I50,U071,0.898026331781887
I60-I69,J09-J18,0.9026625362997527
I60-I69,J40-J47,0.8711148892285854
I60-I69,J80,0.7735497559867264
I60-I69,J96,0.8613674984264375
I60-I69,R09.2,0.6864838222034144
I60-I69,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8491869668095721
I60-I69,I10-I15,0.8079890005513317
I60-I69,I20-I25,0.8743827996808897
I60-I69,I46,0.6825292335749895
I60-I69,"I44, I45, I47-I49",0.9751518068956523
I60-I69,I50,0.9341390543855788
I60-I69,I60-I69,1.0
I60-I69,A40-A41,0.818344201782228
I60-I69,C00-C97,0.9417721404558177
I60-I69,G30,0.8983308164206361
I60-I69,N17-N19,0.8462066619712523
I60-I69,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.936255232306983
I60-I69,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.950931131331648
I60-I69,"I00-I09, I26-I43, I51, I52, I70-I99",0.9789065837500457
I60-I69,E10-E14,0.8693759101595151
I60-I69,E65-E68,0.782072087043346
I60-I69,"F01, F03",0.8911622465388
I60-I69,U071,0.9123488684818903
A40-A41,J09-J18,0.8286085315595921
A40-A41,J40-J47,0.5528335214368127
A40-A41,J80,0.6561626947185543
A40-A41,J96,0.8918535494088209
A40-A41,R09.2,0.7119298432971781
A40-A41,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8037964478992323
A40-A41,I10-I15,0.49429956647594764
A40-A41,I20-I25,0.5714645921635886
A40-A41,I46,0.7217830215032572
A40-A41,"I44, I45, I47-I49",0.8125657647968979
A40-A41,I50,0.8427283415875525
A40-A41,I60-I69,0.818344201782228
A40-A41,A40-A41,1.0
A40-A41,C00-C97,0.7171988207302256
A40-A41,G30,0.86183531987638
A40-A41,N17-N19,0.974975812393803
A40-A41,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.7316236308227879
A40-A41,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.888181171725581
A40-A41,"I00-I09, I26-I43, I51, I52, I70-I99",0.8341068882733461
A40-A41,E10-E14,0.668074620505072
A40-A41,E65-E68,0.5829623559197755
A40-A41,"F01, F03",0.5794111714560926
A40-A41,U071,0.7823793134842079
C00-C97,J09-J18,0.9563123050976995
C00-C97,J40-J47,0.910962746008428
C00-C97,J80,0.8719486523562916
C00-C97,J96,0.8528820879044746
C00-C97,R09.2,0.731322055168026
C00-C97,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8401905305492703
C00-C97,I10-I15,0.9007547298399403
C00-C97,I20-I25,0.9449393270725848
C00-C97,I46,0.7702592442569035
C00-C97,"I44, I45, I47-I49",0.9243312264630914
C00-C97,I50,0.8751256001138378
C00-C97,I60-I69,0.9417721404558177
C00-C97,A40-A41,0.7171988207302256
C00-C97,C00-C97,0.9999999999999999
C00-C97,G30,0.8109625106997749
C00-C97,N17-N19,0.7596966443475377
C00-C97,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.8839612422606904
